UPC1,Descrption,Price,QOH,Tax,Category,Sub Category ,Sub Category 2,Sub Category 3 ,Vendor 
40006746001,Woodland Paper Pen Set,11,1,Yes,Stationary,,,,
40006746001,Woodland Paper Pen Set,11,1,Yes,Stationary,,,,
40006746001,Woodland Paper Pen Set,11,1,Yes,Stationary,,,,
40006518001,Portion Control Plate,12,1,Yes,Giftware,Plate,,,
40006745001,Bohemian Paper Pen Set,11,1,Yes,Stationary,,,,
40006745001,Bohemian Paper Pen Set,11,1,Yes,Stationary,,,,
40006745001,Bohemian Paper Pen Set,11,1,Yes,Stationary,,,,
40007930001,Flora Bird Pouch,21,1,Yes,Accessory ,,,,
40007933001,You're Everything Pouch,21,1,Yes,Accessory ,,,,
40007935001,Think In Magic Coin Purse,12,1,Yes,Accessory ,,,,
40007928001,Answers Pouch,32,1,Yes,Accessory ,,,,
40007929001,You're Everything Pouch,32,1,Yes,Accessory ,Pouch,,,
40007950001,Snack Attack Lunch Bag,8,1,Yes,Accessory ,Lunch Bag,,,
40007960001,Starlet Mini Book,3,1,Yes,Stationary,Notebook ,,,
40007961001,Light Tomorrow Mini Book,3,1,Yes,Stationary,Notebook ,,,
40007960001,Starlet Mini Book,3,1,Yes,Stationary,Notebook ,,,
40007961001,Light Tomorrow Mini Book,3,1,Yes,Stationary,Notebook ,,,
40007378001,Owl Journal,16,1,Yes,Stationary,Notebook ,,,
40007274001,Legal Pad,9,2,Yes,Stationary,Notebook ,,,
40007274001,Legal Pad,9,2,Yes,Stationary,Notebook ,,,
40007024001,Cosmetic Pouch,26,1,Yes,Accessory ,Pouch,,,
40007727001,Let's Do This,13,2,Yes,Stationary,Notebook ,,,
40007228001,Cosmetic Bag - Medium,18,1,Yes,Accessory ,,,,
40007025001,Cosmetic Bag,46,1,Yes,Accessory ,,,,
40007273001,Address Book,20,1,Yes,Stationary,,,,
40007024001,Cosmetic Pouch,26,1,Yes,Accessory ,,,,
40006520001,I Like You 8  Tray,25,1,Yes,Giftware,Plate,,,
40007392001,Everything Horse,400,1,Yes,Dicor,,,,
40000004508,Mumu Pete Tunic Rainforest,139.99,1,Yes,Apparel,Top,Tunic,,Mumu
40000004508,Mumu Pete Tunic Rainforest,139.99,1,Yes,Apparel,Top,Tunic,,Mumu
40000004508,Mumu Pete Tunic Rainforest,139.99,1,Yes,Apparel,Top,Tunic,,Mumu
40000004508,Mumu Pete Tunic Rainforest,139.99,1,Yes,Apparel,Top,Tunic,,Mumu
40000004360,Mumu North Shore,135.99,1,Yes,Apparel,Top,,,Mumu
40000004358,Mumu Mae Mu,119.99,1,Yes,Apparel,Top,,,Mumu
40000004358,Mumu Mae Mu,119.99,1,Yes,Apparel,Top,,,Mumu
40000004358,Mumu Mae Mu,119.99,1,Yes,Apparel,Top,,,Mumu
40000004358,Mumu Mae Mu,119.99,1,Yes,Apparel,Top,,,Mumu
40000004355,Mumu Boca Raton,124.99,1,Yes,Apparel,Top,,,Mumu
