UPC1, Item, Descrption, Price, Cost, Category, SubCategory, SubCategory2, SubCategory3, Vendor, Gigis-Raleigh, Gigis-Cary, Violet-Rareigh, Violet-CaryTotal Inventory
40000004409 ,     7G144-BL ,  Blk/Rust Cardi  , 49 , $19.95  ,  Apparel  ,  Top  ,    ,    ,    , 2 , 1 , 0 , 0 , 3
40000004410 ,    C7F100-BL ,  Blk Open Cardi  , 49 , $18.95  ,  Apparel  ,  Top  ,    ,    ,    , 2 , 1 , 0 , 0 , 3
40000004411 ,     J2S19234 ,  Fringe Vest  , 49 , $17.95  ,  Apparel  ,  Top  ,    ,    ,    , 3 , 1 , 0 , 0 , 4
40000004412 ,      RP41095 ,  4EverYoung  , 74 , $29.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 1 , 0 , 1
40000004413 ,       R20980 ,  4EverYoung  , 59 , $24.00  ,  Apparel  ,  Top  ,    ,    ,    , 0 , 0 , 2 , 2 , 4
40000004414 ,     OB519393 ,  Free People Grey/Pink  , 68 , $31.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 1 , 1 , 2
40000004415 ,     OB531984 ,  Free People Black Combo Dress  , 88 , $40.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 1 , 5 , 6
40000004416 ,     OB527311 ,  Free People Ivory Top  , 128 , $58.00  ,  Apparel  ,  Top  ,    ,    ,    , 0 , 0 , 1 , 5 , 6
40000004417 ,     OB521805 ,  Free People Black/Green  , 68 , $31.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 5 , 2 , 7
40000004418 ,      JB00261 ,  Mid Rise Cargo  , 228 , - ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 5 , 8 , 13
40000004419 ,      ER35212 ,  ganz  , 12 , $4.00  ,  Accessory   ,    ,    ,    ,    , 3 , 0 , 0 , 0 , 3
40000004420 ,      ER41764 ,  ganz  , 39 , $12.00  ,  Accessory  ,    ,    ,    ,    , 2 , 1 , 0 , 0 , 3
40000004421 ,      ER41765 ,  ganz  , 12 , $3.50  ,  Accessory  ,    ,    ,    ,    , 1 , 1 , 0 , 0 , 2
40000004422 ,      ER44345 ,  Ganz  , 26 , $9.00  ,  Accessory  ,    ,    ,    ,    , 2 , 1 , 0 , 0 , 3
40000004423 ,         RV37 ,  Hard Tail Street-easy Dress  , 105 , $48.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 1 , 3 , 4
40000004424 ,         RV35 , Hard Tail Papaya Sleeved Shirt Tunic , 62 , $28.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 1 , 3 , 4
40000004425 ,        SIR23 ,  Hard Tail TRC1 T Back T  , 86 , $39.00  ,  Apparel  ,  Top  ,    ,    ,  Hard Tail   , 0 , 0 , 2 , 1 , 3
40000004426 ,         RV38 , Hard Tail Electric Flat Waist Capri , 84 , $38.00  ,  Apparel  ,  Bottom  ,    ,    ,    , 0 , 0 , 1 , 1 , 2
40000004427 ,        SIR25 ,  Hard Tail Linen Scoop Back Cre  , 64 , $29.00  ,  Apparel  ,  Top  ,    ,    ,  Hard Tail   , 0 , 0 , 3 , 4 , 7
40000004428 ,    SIR23SEAF ,  Hard Tail Sea Foam T Back  , 69 , $31.00  ,  Apparel  ,  Top  ,    ,    ,    , 0 , 0 , 4 , 4 , 8
40000004429 ,        BEM31 ,  Hard Tail Split Back slouchy  , 115 , $52.00  ,  Apparel  ,  Top  ,    ,    ,    , 0 , 0 , 4 , 3 , 7
40000004430 ,     RV12HAL1 ,  Hard Tail Horizontal Crop  , 89 , $40.00  ,  Apparel  ,  Bottom  ,    ,    ,    , 0 , 0 , 4 , 1 , 5
40000004431 ,   CHEV02DLZ2 ,  Hard Tail Slouchy T  , 89 , $40.00  ,  Apparel  ,  Top  ,    ,    ,    , 0 , 0 , 2 , 1 , 3
40000004432 ,     OB522611 ,  Sweet Tennessee Dress  , 148 , $67.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 3 , 2 , 5
40000004433 ,       BA3845 ,  Blue Pepper Burgundy Top  , 42 , $16.00  ,  Apparel  ,  Dress  ,    ,    ,    , 2 , 1 , 0 , 0 , 3
40000004434 ,       BA5650 ,  Blue Pepper Ivory Sleeveless T  , 34 , $13.00  ,  Apparel  ,  Top  ,    ,    ,    , 0 , 1 , 0 , 0 , 1
40000004435 , 4210255 ,  Isle Navy Top  , 69 , $32.00  ,  Apparel  ,  Top  ,    ,    ,    , 3 , 1 , 0 , 0 , 4
40000004436 , 4211580 ,  Isle True Blue Aspen Top  , 85 , $39.00  ,  Apparel  ,  Top  ,    ,    ,    , 3 , 1 , 0 , 0 , 4
40000004437 , 4256020 ,  Isel Navajo Paisley Dress  , 119 , $54.00  ,  Apparel  ,  Dress  ,    ,    ,    , 2 , 1 , 0 , 0 , 3
40000004439 ,     ED12595T , En Creme Long Sleeve Blush Tassel , 47 , $18.50  ,  Apparel  ,    ,    ,    ,    , 3 , 1 , 0 , 0 , 4
40000004441 ,    ED12857VL ,  En Creme Dusty  , 47 , $18.50  ,  Apparel  ,  Top  ,    ,    ,    , 2 , 0 , 0 , 0 , 2
40000004442 ,   EDF13300WL ,  En Creme  Pink Dress  , 39 , $15.50  ,  Apparel  ,  Dress  ,    ,    ,    , 2 , 1 , 0 , 0 , 3
40000004443 ,    EJ90392RZ ,  En Creme  Olive Vest  , 52 , $21.00  ,  Apparel  ,  Top  ,    ,    ,    , 3 , 1 , 0 , 0 , 4
40000004444 ,    ER60456WL ,  En Creme  Pink Print Romper  , 42 , $16.00  ,  Apparel  ,  Romper  ,    ,    ,    , 1 , 1 , 0 , 0 , 2
40000004448 ,     OB526741 ,  Free People Moon Light Dress  , 128 , $58.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 1 , 4 , 5
40000004449 ,     OB525678 ,  Free People Strwbery Swtr  , 108 , $49.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 4 , 0 , 4
40000004450 ,     OB477406 ,  Free People Pink Heart Tunic  , 98 , $44.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 3 , 4 , 7
40000004451 ,       H15164 ,  Hazel Mint Top  , 54 , $24.00  ,  Apparel  ,  Top  ,    ,    ,    , 0 , 0 , 2 , 2 , 4
40000004452 ,       H15207 ,  Hazel Navy Top  , 59 , $27.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 2 , 1 , 3
40000004453 ,       H15301 ,  Hazel Floral Tank  , 59 , $27.00  ,  Apparel  ,    ,    ,    ,  Hazel  , 0 , 0 , 2 , 2 , 4
40000004454 ,       H93961 ,  Hazel Havy vest with hood  , 84 , $38.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 3 , 3 , 6
40000004455 ,      1663BUR ,  Nation Red Tee  , 74 , $34.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 2 , 3 , 5
40000004456 ,      2353JCK ,  Nation Drap Back Dress  , 89 , $40.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 2 , 3 , 5
40000004457 ,      3198BUR ,  Nation Twist Back Tank  , 67 , $30.00  ,  Apparel  ,  Top  ,  Sleeveless  ,    ,  Nation  , 0 , 0 , 1 , 1 , 2
40000004458 ,      5037PCR ,  Nation Grey Wrap Skirt  , 92 , $41.00  ,  Apparel  ,  Bottom  ,  Skirt  ,    ,  Nation  , 0 , 0 , 1 , 3 , 4
40000004459 ,      109138P ,  GoodHyouman Jordie french Tee  , 59 , $27.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 2 , 3 , 5
40000004460 ,      110136P ,  GoodHyouman Lennie-Hoodie  , 59 , $27.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 3 , 6 , 9
40000004461 ,      114100P ,  GoodHyouman Aguilera must tank  , 37 , $16.50  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 2 , 1 , 3
