Item,Descrption,Cost,UPC1
        E842,Square Art Deco,$5.80 ,40000003891
        E917,Swirl Earring,$6.80 ,40000003892
        EMGC,Emily McDowell Greeting Card,$2.25 ,40008035001
        ENCG,NC Studs Gold,$14.00 ,40007834001
        ENCS,NC Studs Silver,$14.00 ,40007833001
        ESHF,Shine/Feathers Wand,$3.50 ,40007669001
        EVOP,Voila/Paris Wand,$3.50 ,40007668001
        EWIM,Wishes/Mermaid Wand,$3.50 ,40007667001
        EWOJ,WooHoo/Jewels Wand,$3.50 ,40007670001
        F001,,$11.50 ,40000002664
        F308,,$28.75 ,40000001390
        FLFS,Felted Soap,$8.00 ,40007793001
        FLIP,Dishwasher Sign,$3.50 ,40007596001
        FQUS,Doorknob Hanger,$1.75 ,40007666001
        FW6C,Fuddlewuddle Calf,$11.35 ,40000003593
        FW6C,Fuddlewuddle Calf,$11.35 ,40007740001
        G093,,$15.75 ,40000001934
        H152,,$8.25 ,40000001868
        H1WH,White,-,40007182001
        H303,,$20.50 ,40000002635
        H304,,$24.75 ,40000002873
        K887,,$12.50 ,40000001887
        K8ST,8  Silver Taper,-,40007215001
        M249,,$14.50 ,40000003001
        MFBA,A,-,40007230001
        MFBC,C,-,40007232001
        MFBF,F,-,40007233001
        MFBH,H,-,40007234001
        MFBJ,J,-,40007235001
        MFBK,K,-,40007236001
        MFBL,L,-,40007237001
        MFBM,M,-,40007238001
        MFBN,N,-,40007239001
        MFBO,P,-,40007240001
        MFBO,P,-,40007241001
        MFBR,R,-,40007242001
        MFBS,S,-,40007243001
        MFBT,T,-,40007244001
        MINK,Murder Ink Pad and Pen,$6.00 ,40007602001
        MKEY,MonKEYS,$2.50 ,40007597001
        MOBY,Moby Dick Party Picks,$6.00 ,40007590001
        N128,An Old Soul,$34.00 ,40000004065
        N163,An Old Soul,$39.00 ,40000004070
        N178,Zenzi Pendant with Tassel,$12.50 ,40000004445
        N184,An Old Soul,$27.00 ,40000004066
        N208,An Old Soul,$29.00 ,40000004069
        N210,An Old Soul,$32.00 ,40000004064
        N218,SV-B-AM,$39.00 ,40000004063
        N712,Horn Pendant,$19.80 ,40000003893
        NHB1,,-,40000003647
        PP20,,$8.75 ,40000002237
        PVX2,Printed Village,$12.00 ,40000003956
        QBIE,Birthday Queen/Paris Tiara,$3.33 ,40007659001
        QFAF,Fabulous/Feathers Tiara,$3.33 ,40007660001
        QONM,One of a Kind/Mermaid Tiara,$3.33 ,40007661001
        QQUS,Queen of this Day/Songbird Tiara,$3.33 ,40007662001
        QSIG,Simply the Best/Crown Tiara,$3.33 ,40007663001
        QWOC,WooHoo/Tiara Tiara,$3.33 ,40007664001
        R314,,$26.00 ,40000002550
        R410,,$29.75 ,40000003181
        R411,,$14.75 ,40000003182
        R415,,$26.75 ,40000003183
        R422,,$27.75 ,40000003088
        R423,,$26.75 ,40000003184
        R430,,$26.75 ,40000003089
        R436,,$28.75 ,40000003185
        RC35,Distressed Denim Shorts,$11.99 ,40000003811
        RCPG,Pinot Grigio Candle,$12.00 ,40008055001
        RCPN,Pinot Noir Candle,$12.00 ,40008049001
        RCSB,Sauvignon Blanc Candle,$12.00 ,40008047001
        RV08,Flat Waist Pant,$47.00 ,40000004597
        RV35,Hard Tail Papaya Sleeved Shirt Tunic,$28.00 ,40000004424
        RV37,Hard Tail Street-easy Dress,$48.00 ,40000004423
        RV38,Hard Tail Electric Flat Waist Capri,$38.00 ,40000004426
        S078,,$14.00 ,40000003173
        S104,,$12.75 ,40000003360
        S105,,$13.50 ,40000003031
        S124,,$15.00 ,40000003032
        S155,,$12.50 ,40000003312
        S195,,$12.00 ,40000003361
        S203,,$11.50 ,40000003313
        S215,,$23.00 ,40000003362
        S500,,-,40000003367
        SFMB,PPLA Seafoam Tank,$22.00 ,40000004080
        STM1,Let Them Eat Cupcakes,-,40007358001
        STM2,Red Bird Crew,-,40007359001
        STM3,Sasquatch Crew,-,40007360001
        STM4,TRex Crew,-,40007361001
        STM5,Super Hero Crew,-,40007362001
        STM6,Planets Crew,-,40007363001
        STM7,Large Bikes Crew,-,40007364001
        STM8,Buck Crew,-,40007365001
        STM9,Sushi Crew,-,40007367001
        T165,,$19.00 ,40000002382
        T206,,$17.75 ,40000002114
        T226,,$17.75 ,40000002327
        T241,,$19.00 ,40000002682
        T297,,$20.75 ,40000002751
        TB40,,$14.00 ,40000002291
        U007,,$15.50 ,40000002589
        VJ42,Violets Jewelry $42,-,40000004073
        WW3H,Wowsa Hare,$11.00 ,40000003581
        WW3H,Wowsa Hare,$11.00 ,40007737001
       002JC,,$11.00 ,40000002742
1000,,$15.50 ,40000001347
1307,,$18.00 ,40006042001
1530,,-,40000000317
4700,,$24.00 ,40000000787
5216,,$23.00 ,40000000276
5300,,$23.00 ,40000000789
7721,,$21.00 ,40005482001
9100,,$14.50 ,40000000476
10005,Cards/Stationary,-,40000013005
10062,,$13.75 ,40000001393
10092,,$5.25 ,40000003307
       100LA,,$11.50 ,40000002743
10119,,$6.00 ,40000000045
10132,,$6.00 ,40000000044
10175,Framed ART,$10.00 ,40000003881
10269,,$18.75 ,40000001392
10300,,$3.75 ,40000000846
10304,,$9.25 ,40005613001
10314,,$28.50 ,40000001788
10319,,$9.25 ,40005612001
10333,Reversible Tote,$40.00 ,40007880001
10334,Reversible Tote,$40.00 ,40007874001
10335,Reversible Tote,$40.00 ,40007875001
