UPC1, Item, Descrption, Cost, Price, Category, SubCategory, SubCategory2, SubCategory3, Vendor, GR, GC, VR, VC, Total Inventory
40000004315,   , Karma Socks ,0,9, Footwear  , Sock ,  ,  ,  ,0,0,6,6,12
40000004315,      KA0000,Karma Socks,$3.25 ,,,,,,,,,,,
40000004316,   , Karma Mugs ,0,19, Giftware  , Mug ,  ,  , Karma ,0,0,2,1,3
40000004316,      KA1018,Karma Mugs,$6.95 ,,,,,,,,,,,
40000004317,   , Caramela Lace Top ,0,42, Apparel , Top ,  ,  ,  ,2,1,0,0,3
40000004317,    CT1714-2,Caramela Lace Top,$16.00 ,,,,,,,,,,,
40000004318,   , Caramela Blush Top ,0,42, Apparel , Top ,  ,  ,  ,1,1,0,0,2
40000004318,    CT1734-S,Caramela Blush Top,$15.50 ,,,,,,,,,,,
40000004319,   , Caramela Peach/Orange Top ,0,42, Apparel , Top ,  ,  ,  ,2,1,0,0,3
40000004319,    CT1769-1,Caramela Peach/Orange Top,$15.50 ,,,,,,,,,,,
40000004320,   , Caramela Neon Royal Top ,0,42, Apparel , Top ,  ,  ,  ,1,1,0,0,2
40000004320,    CT1804-S,Caramela Neon Royal Top,$15.50 ,,,,,,,,,,,
40000004321,   , Caramela Navy Top ,0,42, Apparel , Top ,  ,  ,  ,2,0,0,0,2
40000004321,    CT1875-1,Caramela Navy Top,$15.50 ,,,,,,,,,,,
40000004322,   , Tangerine Dress ,0,132, Apparel , Dress ,  ,  ,  ,0,0,1,2,3
40000004322,       D5032,Tangerine Dress,$60.00 ,,,,,,,,,,,
40000004323,   , Tangerine Tank ,0,99, Apparel , Top , Tank ,  ,  ,0,0,1,3,4
40000004323,       T5031,Tangerine Tank,$46.00 ,,,,,,,,,,,
40000004324,   , Tangerine Beaded Tank ,0,139, Apparel , Top ,  ,  ,  ,0,0,1,3,4
40000004324,      T5034E,Tangerine Beaded Tank,$65.00 ,,,,,,,,,,,
40000004325,   , Tangerine Tank ,0,95, Apparel , Top ,  ,  ,  ,0,0,1,1,2
40000004325,       T5041,Tangerine Tank,$42.00 ,,,,,,,,,,,
40000004326,   , Caramela White Top ,0,42, Apparel , Bottom ,  ,  ,  ,0,1,0,0,1
