UPC1,Descrption,Price,Category,Sub Category ,Sub Category 2,Sub Category 3 ,Vendor ,GR,GC,VR,VC
40000002948,,69,,,,,,0,1,0,0
40000002950,,69,,,,,,0,1,0,0
40000002952,,49,,,,,,0,1,0,0
40000002957,,42,,,,,,0,1,0,0
40000002958,,42,,,,,,0,1,0,0
40000002994,,44,,,,,,0,1,0,0
40000002995,,38,,,,,,0,1,0,0
40000002998,,69,,,,,,1,0,0,0
40000002998,,69,,,,,,1,0,0,0
40000002998,,69,,,,,,0,1,0,0
40000003017,,34,,,,,,0,1,0,0
40000003051,,78,,,,,,1,0,0,0
40000003051,,78,,,,,,0,1,0,0
40000003058,,14,,,,,,1,0,0,0
40000003058,,14,,,,,,1,0,0,0
40000003058,,14,,,,,,1,0,0,0
